Area,AMPA,Kainate,NMDA,GABAA,GABAB,GABAA/Bz,M1,M2,M3,α1,α2,5HT1A,5HT2,D1
25p,860.7676444444445,1033.77248,1681.78533,1271.768788888889,2497.5416,1860.2521200000003,982.0648777777777,172.06092999999996,848.4111444444444,546.27621,307.1241625,768.6345899999999,320.26786666666663,99.055825
25a,879.3787777777778,984.43672,1701.3161499999999,1301.6237777777778,2497.318133333333,1839.9904899999995,994.9451,166.71278,819.6625,519.3129099999999,332.88390000000004,751.4749888888889,310.5217222222222,93.58863333333333
s24,742.6877,1000.1558166666667,1655.0746833333333,1353.83466,2272.0624,1984.1623,864.0215400000001,185.9821333333333,804.5703666666667,546.9880999999999,356.388,715.84485,335.6947666666667,95.44896
s32,860.4670249999999,898.2526124999999,1543.3518249999997,1404.8193749999998,2277.6735875,1941.9470749999998,1083.819825,170.4929625,792.7719625,541.4973875000001,389.90115,769.144375,331.1155875,89.35671428571428
p32,868.4050222222221,859.869211111111,1589.5025555555558,1483.7747000000002,2321.4301,2035.1115777777777,1071.7118666666668,154.93105555555556,772.5188888888888,527.5634,368.80736666666667,909.5178555555556,341.90397777777775,89.04512857142858
24a,1016.2724666666667,901.18835,1669.76848,1451.1415166666666,2651.4267,2350.450657142857,1217.9826166666664,133.53230000000002,776.2808428571427,577.08172,371.36678,1037.9403333333332,333.58171999999996,106.62711999999999
24b,844.7154499999999,920.5710666666668,1546.97677,1417.9071000000001,2469.3665599999995,2177.9268,1088.6215857142859,156.32299999999998,751.5491181818182,545.1416555555556,352.357875,902.0015714285713,332.65285555555556,101.05525714285714
24cv,784.8397333333335,839.7376699999999,1457.3525,1498.4283333333335,2516.82379,2199.5143100000005,1142.5132875,178.4338818181818,801.9247090909091,557.3856000000001,383.64911249999994,849.6221142857142,366.95694444444445,99.24718750000001
24cd,705.5847888888889,760.13697,1342.73175,1450.9264555555555,2221.7199200000005,2056.30217,1126.4481750000002,193.9003818181818,797.6992181818182,527.3636444444444,421.08285,816.052957142857,378.51062222222225,98.82443750000002
a24a',690.4131,814.7105300000001,1342.790025,1248.3023375,2254.9985,2148.4192,1173.5524111111108,128.62931,709.72938,485.6846444444444,350.45057777777777,1015.0196222222223,383.51502,96.9452875
a24b',677.6778,890.6105300000002,1399.4991499999999,1152.1866625,2216.474266666666,1999.0793090909092,1189.8632777777777,153.50605000000002,695.26449,533.7782000000001,368.1923888888889,1001.8413777777779,288.1561625,86.5475125
24c'v,633.0373857142857,833.7186800000002,1390.1936125,1255.264,2295.1106,2035.6947454545457,1246.4508666666668,183.30175000000003,732.9608000000001,553.5162444444444,449.30935555555556,954.2548,327.68677777777776,89.06682500000001
24c'd,529.0573428571428,718.0081900000001,1185.50005,1130.59295,1990.6206666666667,1960.869309090909,1157.9539555555557,188.53606,688.84847,533.4268666666666,410.6459333333334,753.7079333333334,322.87205000000006,90.956725
p24a',493.8665,562.5607,1167.9427624999998,1226.10187,1685.7323875000002,1880.7492,1001.3247999999999,92.98685555555555,654.3907555555556,342.36809999999997,208.12762222222224,525.0006,336.1731444444445,71.17911249999999
p24b',577.6992571428572,649.4667857142857,1405.7150777777779,1300.60474,2120.8915500000003,1742.025811111111,1066.0653714285716,115.08818888888888,751.7615333333332,478.4020999999999,264.6229111111111,828.7090142857143,310.3139222222223,69.18058749999999
24dv,545.1098571428571,603.682825,1398.78497,1283.05962,1910.2579125,1574.99576,1007.8878374999999,135.32981111111113,805.78881,492.4004444444445,310.7638,747.32073,325.49975,74.04974444444444
a24dd,476.8515714285714,449.4750874999999,1105.15713,1147.66035,1657.1929875,1547.1126600000002,837.496125,130.2503888888889,679.94107,422.53151111111106,252.91243333333335,573.8399000000001,301.3673,67.72588888888887
23a,627.06298,662.3614666666667,1386.9493727272727,1446.55244,1945.859872727273,2172.28168,910.17968,101.53403636363636,763.8858666666669,432.6297181818182,237.06576,395.14844000000005,343.67918000000003,81.60871
23b,636.239711111111,734.33531,1466.23883,1447.2350700000002,2221.2761111111113,1994.3130999999998,950.5513333333333,103.29920000000001,824.7591625000001,486.64834545454545,256.92532727272726,541.9183166666668,367.34813999999994,78.94577
23c,643.5452363636364,707.5656181818181,1550.3327818181817,1466.0316636363636,2174.276881818182,1883.8030600000002,919.0287750000001,112.02745000000003,852.3356299999999,512.3313166666666,321.300325,564.0663583333334,355.6240583333333,80.33270909090908
p24dd,492.51831999999996,482.28611,1263.3981727272728,1328.6675181818182,1785.0195,1716.5628166666668,735.0121,141.31261666666668,716.2046818181818,449.18803333333335,284.25464999999997,408.1544833333333,322.97949090909094,76.27009090909092
d23a,612.39433,763.4795454545455,1381.5050833333335,1593.13424,2102.2914333333333,1926.70985,857.7475363636364,121.38738888888889,839.6150909090909,490.191325,287.6393,470.61695833333334,332.7294416666667,80.45393636363634
