Area,AMPA,Kainate,NMDA,GABAA,GABAB,GABAA/Bz,M1,M2,M3,α1,α2,5HT1A,5HT2,D1
25p,131.6850943259344,91.77690260531908,229.4040305142489,298.9365792010338,385.5156195403215,273.0993946635213,326.5729523801911,54.088244491264405,157.7766850126245,46.68948096245256,76.85201024025578,203.95461551498545,56.82057159442812,22.49559841288007
25a,145.52703018637789,84.85979994890656,222.6584830570211,308.46193957915557,250.04459785694226,320.1186067228877,317.2701423967672,57.71132780010062,119.59388746509981,63.27254959024473,68.26557687420139,204.31199424520116,74.62675420279548,31.22543620682773
s24,159.2151680431866,60.58582204487837,216.0794070499683,300.76154585267903,296.66174570344083,94.78485537808247,271.6270187809612,45.04844039021411,48.71781036991159,42.13573805125526,60.845216397840154,205.33562290780185,58.41946823550054,27.814279095601204
s32,159.7984234828273,84.3928809128241,216.9844119936087,176.56276055011367,257.2851838249524,506.209207697195,328.28382966080926,35.57087924338917,111.5505342826341,83.448073639105,114.2159812023802,246.23787879069843,88.27770723613884,20.585859624081266
p32,159.7984234828273,84.3928809128241,216.9844119936087,176.56276055011367,257.2851838249524,506.209207697195,328.28382966080926,35.57087924338917,111.5505342826341,83.448073639105,114.2159812023802,246.23787879069843,88.27770723613884,20.585859624081266
24a,64.28479372311415,42.72782352663192,161.28262783834464,208.42356478861592,293.16255625369615,353.7028499989565,225.21977323817237,27.82019843094463,42.78870244343543,32.031225548782835,51.04166867606297,291.4051881545236,76.53898754907222,25.502978207299698
24b,153.77143263408834,72.4907576902911,309.17347129871115,234.41099606221022,357.9782085486055,311.8939511930405,315.49791668521004,33.57798183333853,99.49626963321522,99.56151910265213,67.97357110114301,271.21283263105875,59.892674248089506,28.210817248640474
24cv,125.39274572476188,66.37222273048083,275.4102228184431,170.7346550559808,503.443204314326,526.8933433956441,246.3981519899133,38.26796480161498,64.82412266737522,76.10818715744418,95.67757738211112,137.46122160035293,84.78088698630889,31.219547396071153
24cd,135.24881864440158,72.36686213090523,290.16295389964046,194.73618977429365,283.15802748483816,416.50584143916626,223.8621944794521,38.80351239258669,69.76197797637074,77.7964163367782,55.373025841804214,111.40625205338836,68.24238190627536,34.4003987533341
a24a',172.38495978568287,78.41400294910555,183.89931370300584,396.1137010537178,294.40335742307565,171.86983423744846,272.7890155509039,43.21801120568058,127.29544814286513,66.30823495928135,52.69116784826912,272.80429398603167,73.21413022585493,30.693555455708953
a24b',179.2220484884919,102.7188480051458,311.91187795284765,348.52313535358195,189.71580394888687,420.04959150716826,253.8652831046303,49.375000917946494,165.22840377918246,91.70727238899849,99.73324506385079,296.205666971691,35.4676482500375,43.523715473896274
24c'v,189.79575579795807,90.40212526299507,367.97447812291307,367.67122007582924,190.40413427083195,313.0566453114621,258.8929399037127,40.460411138962435,165.2564538460211,71.45740953657548,85.58516624617428,232.93186876073855,45.67195388769164,39.750800127715294
24c'd,164.08726630552295,91.42019276181543,316.17634448025933,305.34174386695736,295.3995485906175,374.37491077284415,221.85082804562077,43.14540810878694,181.45355680578155,56.885432683949055,66.17754164667548,172.3850239083939,30.302127635979996,32.03976879111109
p24a',250.7442219550368,177.96836687079139,294.75480153150056,202.53619187815397,533.6904157182757,531.366604829905,249.63068630609484,38.709486996023074,134.93286790039437,121.00443723719984,61.89376400261929,162.29266311631798,41.54350636372345,13.2527824163659
p24b',207.9506202190146,139.2926195247907,215.05705010539523,203.71245560670658,459.0445574597575,531.6863074548909,280.81103629983744,34.01958156887161,124.7876895997563,100.79701988752359,75.10130256246312,222.61656859533457,51.957556160167094,11.251694891937492
24dv,202.47464306824423,80.3314123530005,118.11391797886431,178.10493257892122,532.6470585082333,425.5849888199442,255.3677362538576,37.19125669090252,69.42513133401653,60.951281999317324,78.02196724849347,101.2259936594796,42.95264073566634,13.795359024334198
a24dd,183.8369464576306,70.87371394403776,191.54880621822429,204.71332442632578,628.0190958642424,431.25261610026735,229.60643677169338,33.76670120867759,73.06968591303064,64.9425909555212,66.98060693840773,121.32263824555673,38.53843534086711,19.488756541750238
23a,163.4417549558913,53.38566347140869,269.58607108163096,308.09494688151966,373.73726047453937,636.6918534365856,274.1317542850185,32.618418534112664,155.37447628305853,43.85721827402687,34.8776869834889,107.82070398085447,74.3275077283981,14.641717472076488
23b,174.14800441460332,66.46582007002546,267.5712964688187,233.28960047527778,413.79798307769505,624.2543033814601,293.2976459177601,34.202430699673926,166.93761504797374,28.41119608975883,44.67490861497311,158.72376824894567,88.26991464253535,14.278692384423758
23c,149.48089682583065,74.4283588607974,207.78694689099694,258.275280941081,414.2362163170631,533.4227095992428,320.9821282941638,31.894389709690802,141.74362881061103,41.280380116154966,32.67788065043178,117.06729149310539,78.6319519485149,14.574054478521498
p24dd,90.95872432345746,77.85821182940236,300.7977055472894,311.3218025463164,336.32308734819844,438.42053041673125,226.52065129262286,44.637241155907084,100.10601136048511,49.64323168971562,29.618059167139588,81.86128615292232,76.40328528743305,9.213283063214028
d23a,135.70310616165847,125.0928680958943,114.28263326102636,179.77392709187802,372.7710393001677,482.81194543958736,320.1186797564342,44.47860740152067,125.5339289612934,36.82508912215654,40.41429761638838,134.65869013102213,85.45328762814802,15.6807266539069
d23b,97.79650729634655,83.59627007327911,125.43500276520132,178.2199506130187,237.5601558647962,405.8480091492983,330.92681231834837,38.56028322912305,114.97860010771485,24.526794771908808,29.106761869845272,141.45870469105094,87.33857954963635,14.708884850753625
v23a,130.53860982553402,134.58784339695129,258.06791821297793,406.69735661117403,335.1188638989413,207.8466298631548,339.45573676670335,55.68745870549903,150.2511229702201,46.687968302120446,37.11526692473437,127.98279176370032,80.37701376961851,25.111252826454255
v23b,12.131156810749738,83.30133332550123,249.3102555214942,367.0571310567476,306.19949530825244,184.94955131810818,291.1332877682599,39.70054980556313,122.95750203007825,35.47241756367091,25.995287175205988,131.09275910260192,76.05059724484816,26.449963298077858
31d,98.18568018040362,115.90153260531231,146.34247529825126,170.2890367345742,370.93027570658325,296.889121447653,255.89103780444708,45.4521885179627,162.82339930625852,36.42046096400492,33.22211580218254,80.1016995964784,79.50691941427402,14.96398466476336
31v,81.89995905593186,119.45171807000136,93.59411005363067,176.1802210840424,298.74435596482994,430.81454170199675,298.66347451898696,29.883571424034635,128.72101987037615,24.62705850982385,23.279525539622245,120.28666461268965,79.32833150179674,16.750145899199506
31p,91.95357174314731,79.5965482595394,365.25677822638636,399.90471693194297,335.7758988987805,266.915504629277,251.66645888207057,43.79092359552133,111.28178624558309,31.29246501017021,54.57163266019249,41.05868626416121,70.7203079697693,22.64218059645862
